Zip,Median,Mean,Pop
1001,56662.5735,66687.7509,16445
1002,49853.4177,75062.6343,28069
1003,28462,35121,8491
1005,75423,82442,4798
1007,79076.354,85801.975,12962
1008,63980,78391,1244
1009,51452,66737,889
1010,75625,80919,3340
1011,63476.384,77443.4864,1323
1012,58750,74722,677
1013,36577.6985,46178.6102,22907
1020,50058.2122,58515.859,29626
1022,50439.9649,60796.5564,2124
1026,60320,71505,1052
1027,58572.5693,66612.9083,17452
1028,80251.9086,94891.2178,14143
1029,62955,97075,663
1030,71106.009,81726.8742,11702
1031,61250,76417,1192
1032,67692,79796,498
1034,63980,78391,1910
1035,69911,73973,4801
1036,78869,95493,5089
1037,61250,76417,627
1038,53939,72430,2557
1039,66284.498,78496.9304,1291
1040,35549.1968,43614.712,39827
1050,62097.086,70566.163,2380
1053,60477,77611,1720
1054,67831,86678,1656
1056,63317.7786,72027.1504,21205
1057,73254.3155,78485.1186,8474
1060,48068.8968,67477.5104,15578
1062,60686.0946,82398.0055,11283
1063,40694,32047,393
1066,53939,72430,71
1068,77396,81314,1651
1069,50344.992,65296.6974,8789
1070,60320,71505,573
1071,63980,78391,1518
1072,67831,86678,1503
1073,80738,94452,5366
1074,75423,82442,315
1075,63053.2536,76026.5419,17179
1077,73644.8225,81585.3075,8842
1079,51452,66737,625
1080,50100,59535,2208
1081,65917,76367,1581
1082,51935.6135,60092.8303,10125
1083,55030,70156,2887
1084,58750,74722,158
1085,57598.078,68896.8666,40392
1086,93611,83650,323
1088,53939,72430,622
1089,53711.1214,64225.7433,27894
1092,55030,70156,1215
1093,59722,72440,340
1094,61250,76417,340
1095,89486.1818,101877.5633,13572
1096,66147.7166,78919.7202,2143
1097,63980,78391,113
1098,60320,71505,1212
1103,16962.7082,25747.4737,2731
1104,35379.5505,43968.6913,22078
1105,17755.5408,27143.5417,12816
1106,91889.27,134661.8557,15880
1107,23557.2427,33974.4629,11615
1108,37410.7302,48866.1934,26060
1109,34638.3819,44049.2996,30683
1118,55853.211,62545.6393,14283
1119,45184.3061,52187.3845,13170
1128,63176.844,66605.2645,3040
1129,58703.8126,66402.5941,6982
1151,34174.9404,50951.1659,8302
1199,48306,58759,14
1201,46765.308,57693.8041,43838
1220,38378.5815,50307.8064,8947
1222,47145,68665,821
1223,48478,71204,2287
1224,66458,82491,197
1225,57419,75267,3264
1226,57505.4856,70709.6429,7099
1229,55096,70740,129
1230,53584.1963,73996.1665,8654
1235,63876.7816,73061.7907,2597
1236,55718.0472,74247.34,1656
1237,69658.9301,87759.024,2426
1238,51052.9282,64187.0814,6110
1240,60458.2999,74116.9518,4787
1242,60604,74264,254
1243,60320,71505,360
1244,57917,73592,136
1245,63152.2469,90382.9503,989
1247,38405.1697,48294.8777,16957
1253,62955,97075,607
1254,79145,103371,1070
1255,62955,97075,824
1256,54167,59862,701
1257,47145,68665,2223
1258,55764,80635,401
1259,57917,73592,640
1260,53297.2,67748.8,225
1262,55096,70740,1357
1264,63250,89918,160
1266,64328.3804,79025.2928,1681
1267,69925.2006,104708.931,8683
1270,70662,76919,761
1301,47832.6781,54338.379,18444
1330,70326,81554,1512
1331,49110.1591,59948.8561,12856
1337,57550,68074,2649
1338,56596,67203,184
1339,6531.1784,7755.2262,181
1341,70326,81554,1743
1342,61912,77805,1140
1343,54167,59862,73
1344,54836,62158,1216
1347,50189,64302,214
1349,51400.9376,63742.8448,1116
1351,50189,64302,2301
1354,57550,68074,1367
1355,67831,86678,820
1360,70606,75984,2952
1364,44676.011,51819.926,7633
1366,68373.6866,75325.1326,1186
1368,61950.3616,70261.3536,1256
1370,53002.727,62787.3353,4020
1373,61437.865,76643.4775,4618
1375,59722,72440,3769
1376,36099.3713,49132.0606,5149
1378,54836,62158,742
1379,54836,62158,949
1420,48605.9317,60460.91,39333
1430,79874.6,81307.565,5551
1431,80143,92672,2833
1432,55863,70682,7008
1434,119015.8934,144182.7964,1017
1436,66138,70269,3097
1438,66138,70269,413
