"","borough","neighborhood","building_class_category","tax_class_present","block","lot","easement","building_class_present","address","apartment_number","zip_code","residential_units","commmercial_units","total_units","land_sq_feet","gross_sq_feet","year_built","tax_class_time_sale","build_class_time_sale","sale_price","sale_date","serialid","sale_year","sale_month"
"5631",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5871,91,"","A5","24 BAY RIDGE PLACE","",11209,1,0,1,1600,1400,1910,1,"A5",585000,"2009-10-29",5631,9,9
"5635",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5882,38,"","A5","7014 LOUISE TERRACE","",11209,1,0,1,1169,1224,1925,1,"A5",515000,"2009-10-15",5635,9,9
"5636",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5882,50,"","A5","7009 LOUISE TERRACE","",11209,1,0,1,945,1836,1925,1,"A5",499900,"2009-04-20",5636,9,3
"5637",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5882,80,"","A5","7002 COLONIAL ROAD","",11209,1,0,1,1121,1330,1925,1,"A5",525000,"2009-09-02",5637,9,8
"5638",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5882,81,"","A5","7004 COLONIAL ROAD","",11209,1,0,1,1118,1224,1925,1,"A5",4e+05,"2009-07-24",5638,9,6
"5639",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5885,45,"","A5","7037 RIDGECREST TERRACE","",11209,1,0,1,1942,1938,1925,1,"A5",643118,"2009-06-01",5639,9,5
"5642",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5890,59,"","A5","249 72ND   STREET","",11209,1,0,1,1667,2444,1925,1,"A5",390000,"2009-05-26",5642,9,4
"5646",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5905,23,"","A5","94 72ND   STREET","",11209,1,0,1,2000,2048,1920,1,"A5",725000,"2009-11-10",5646,9,10
"5647",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5905,31,"","A5","110 72ND   STREET","",11209,1,0,1,2000,1880,1910,1,"A5",525000,"2009-07-27",5647,9,6
"5648",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5905,31,"","A5","110 72ND   STREET","",11209,1,0,1,2000,1880,1910,1,"A5",4e+05,"2009-03-27",5648,9,2
"5651",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5916,12,"","A5","138 73RD   STREET","",11209,1,0,1,1933,1264,1925,1,"A5",535000,"2009-07-28",5651,9,6
"5653",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5916,15,"","A5","144 73 STREET","",11209,1,0,1,1967,1216,1925,1,"A5",606500,"2009-11-24",5653,9,10
"5655",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5921,71,"","A4","635 74 STREET","",11209,1,0,1,2000,2083,1910,1,"A4",750000,"2009-11-02",5655,9,10
"5656",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5929,63,"","A4","341 BAY RIDGE PARKWAY","",11209,1,0,1,1880,2100,1910,1,"A4",550000,"2009-02-27",5656,9,1
"5658",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5930,27,"","A4","458 74TH STREET","",11209,1,0,1,1887,2640,1899,1,"A4",824000,"2009-06-04",5658,9,5
"5659",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5930,57,"","A9","475 BAY RIDGE PARKWAY","",11209,1,0,1,823,2200,1910,1,"A9",505000,"2009-06-04",5659,9,5
"5661",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5932,33,"","A9","660 74TH STREET","",11209,1,0,1,1896,1444,1925,1,"A9",83000,"2009-09-22",5661,9,8
"5663",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5936,38,"","A1","7518 NARROWS AVENUE","",11209,1,0,1,3815,3169,1925,1,"A1",960000,"2009-08-12",5663,9,7
"5669",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5947,9,"","A1","7601 NARROWS AVENUE","",11209,1,0,1,2800,1704,1925,1,"A1",2100000,"2009-05-29",5669,9,4
"5673",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5948,7,"","A9","7609 COLONIAL ROAD","",11209,1,0,1,2001,2768,1920,1,"A9",675000,"2009-04-28",5673,9,3
"5674",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5949,54,"","A1","269 77TH   STREET","",11209,1,0,1,2187,1852,1935,1,"A1",761000,"2009-06-18",5674,9,5
"5677",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5953,72,"","A5","651 77TH   STREET","",11209,1,0,1,2100,1666,1920,1,"A5",690000,"2009-12-01",5677,9,11
"5678",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5956,9,"","A1","1 78TH STREET","",11209,1,0,1,2015,1710,1926,1,"A1",705000,"2009-12-30",5678,9,11
"5680",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5956,53,"","A1","35 79TH   STREET","",11209,1,0,1,2700,1460,1925,1,"A1",915000,"2009-02-24",5680,9,1
"5681",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5956,70,"","A1","10 78 STREET","",11209,1,0,1,2000,884,1925,1,"A1",1e+05,"2009-12-04",5681,9,11
"5683",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5957,75,"","A9","45 78TH STREET","",11209,1,0,1,2296,1408,1925,1,"A9",790000,"2009-10-01",5683,9,9
"5685",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5959,22,"","A1","234 77TH   STREET","",11209,1,0,1,3280,2986,1910,1,"A1",808000,"2009-05-14",5685,9,4
"5691",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5966,5,"","A1","7801 NARROWS AVENUE","",11209,1,0,1,4000,3074,2000,1,"A1",1570000,"2009-09-16",5691,9,8
