w_zip,h_zip,total,initialFeat,true_label
11436,10009,1,4.0,4
11436,10011,1,4.0,4
11436,10013,1,4.0,4
11436,10019,1,4.0,4
11436,10021,1,4.0,4
11436,10023,1,4.0,4
11436,10026,3,4.0,4
11436,10027,2,4.0,4
11436,10029,3,4.0,4
11436,10030,1,4.0,4
11436,10031,1,4.0,4
11436,10032,2,4.0,4
11436,10033,3,4.0,4
11436,10034,2,4.0,4
11436,10035,1,4.0,4
11436,10037,1,4.0,4
11436,10304,3,4.0,4
11436,10305,2,4.0,4
11436,10306,2,4.0,4
11436,10307,1,4.0,4
11436,10308,1,4.0,4
11436,10310,3,4.0,4
11436,10312,1,4.0,4
11436,10314,2,4.0,4
11436,10451,3,4.0,4
11436,10452,2,4.0,4
11436,10455,2,4.0,4
11436,10456,2,4.0,4
11436,10457,3,4.0,4
11436,10458,2,4.0,4
11436,10459,4,4.0,4
11436,10460,3,4.0,4
11436,10461,1,4.0,4
11436,10462,5,4.0,4
11436,10463,4,4.0,4
11436,10465,4,4.0,4
11436,10467,4,4.0,4
11436,10469,3,4.0,4
11436,10470,1,4.0,4
11436,10472,11,4.0,4
11436,10473,3,4.0,4
11436,11001,2,4.0,4
11436,11004,7,4.0,4
11436,11005,1,4.0,4
11436,11101,3,4.0,4
11436,11102,1,4.0,4
11436,11103,3,4.0,4
11436,11104,3,4.0,4
11436,11105,1,4.0,4
11436,11106,3,4.0,4
11436,11201,2,4.0,4
11436,11203,9,4.0,4
11436,11204,2,4.0,4
11436,11205,1,4.0,4
11436,11206,3,4.0,4
11436,11207,24,4.0,4
11436,11208,26,4.0,4
11436,11209,4,4.0,4
11436,11210,7,4.0,4
11436,11211,4,4.0,4
11436,11212,9,4.0,4
11436,11213,8,4.0,4
11436,11214,10,4.0,4
11436,11215,2,4.0,4
11436,11216,7,4.0,4
11436,11217,4,4.0,4
11436,11218,4,4.0,4
11436,11219,2,4.0,4
11436,11220,3,4.0,4
11436,11221,4,4.0,4
11436,11222,1,4.0,4
11436,11223,1,4.0,4
11436,11224,1,4.0,4
11436,11225,3,4.0,4
11436,11226,7,4.0,4
11436,11229,6,4.0,4
11436,11230,2,4.0,4
11436,11231,1,4.0,4
11436,11232,1,4.0,4
11436,11233,8,4.0,4
11436,11234,10,4.0,4
11436,11236,31,4.0,4
11436,11237,3,4.0,4
11436,11238,6,4.0,4
11436,11239,3,4.0,4
11436,11354,9,4.0,4
11436,11355,11,4.0,4
11436,11356,7,4.0,4
11436,11357,1,4.0,4
11436,11358,12,4.0,4
11436,11359,1,4.0,4
11436,11360,4,4.0,4
11436,11361,9,4.0,4
11436,11362,6,4.0,4
11436,11364,12,4.0,4
11436,11365,2,4.0,4
11436,11366,3,4.0,4
11436,11367,6,4.0,4
11436,11368,26,4.0,4
11436,11369,4,4.0,4
11436,11370,2,4.0,4
11436,11372,7,4.0,4
11436,11373,16,4.0,4
11436,11374,10,4.0,4
11436,11375,11,4.0,4
11436,11377,7,4.0,4
11436,11378,10,4.0,4
11436,11379,8,4.0,4
11436,11385,12,4.0,4
11436,11411,9,4.0,4
11436,11412,9,4.0,4
11436,11413,24,4.0,4
11436,11414,4,4.0,4
11436,11415,4,4.0,4
11436,11416,9,4.0,4
11436,11417,15,4.0,4
11436,11418,21,4.0,4
11436,11419,46,4.0,4
11436,11420,51,4.0,4
11436,11421,17,4.0,4
11436,11422,8,4.0,4
11436,11423,20,4.0,4
11436,11426,7,4.0,4
11436,11427,12,4.0,4
